loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
38,0,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
7,0,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
15,1,8.0,8,3,1,0,0,0.2074728423063149,0.19,1,0.09,0.057,0.1845,0.0,0.0855
6,0,0.0,0,2,1,0,0,0.2074728423063149,0.19,1,0.06,0.057,0.1645,0.0,0.071
55,1,2.0,2,6,1,0,0,0.2074728423063149,0.19,1,0.18,0.057,0.2445,0.0,0.129
52,1,50.0,50,4,2,0,0,0.2074728423063149,0.19,1,0.12,0.057,0.2045,0.0,0.1
24,0,0.0,0,6,2,0,0,0.2074728423063149,0.19,1,0.18,0.057,0.2445,0.0,0.129
17,2,7.0,7,5,1,0,0,0.2074728423063149,0.19,1,0.15,0.057,0.2245,0.0,0.1145
66,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
189,7,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
34,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
95,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
42,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
45,2,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
18,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
57,2,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
6,0,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
20,2,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
79,5,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
42,6,0.0,0,4,0,1,0,0.2074728423063149,0.19,1,0.16,0.057,0.2045,0.0,0.114
10,0,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
247,16,0.0,0,4,0,1,0,0.2074728423063149,0.19,1,0.16,0.057,0.2045,0.0,0.114
413,36,0.0,0,7,0,1,0,0.2074728423063149,0.19,1,0.25,0.057,0.2645,0.0,0.1575
17,2,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
28,2,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
62,5,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
34,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
97,7,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
66,7,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
13,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
145,9,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
21,1,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
112,9,0.0,0,1,0,0,0,0.2074728423063149,0.19,1,0.03,0.057,0.1445,0.0,0.0565
